time,entsoe,entsoe_next,tge,tge_next
0,89.71940854581442,109.10001164279892,89.69845150774245,0.0
1,84.35906391896611,104.10059378274536,84.34043544067993,0.0
2,83.02945628129001,95.02386773780415,83.01082780300383,0.0
3,89.50983816509488,92.86296425660728,89.48655256723717,0.0
4,92.69996507160322,94.1739434159972,92.67667947374548,0.0
5,107.1207358248923,104.7502619629759,107.09745022703457,0.0
6,129.71940854581442,108.2896728373501,129.6868087088136,0.0
7,135.72010711375015,116.01816276632903,135.68750727674933,0.0
8,120.88950983816508,112.17836767959017,120.86389568052158,0.0
9,108.65991384328792,91.01408778670393,108.63429968564442,0.0
10,82.72907206892536,33.109791593899175,82.71510071021073,0.0
11,77.14984282221445,15.17522412387938,77.12888578414251,0.0
12,68.85085574572128,5.218302479916171,68.83688438700663,0.0
13,66.14972639422517,-13.9457445569915,66.131097915939,0.0
14,58.95913377575969,-13.736174176271975,58.9498195366166,0.0
15,62.3192455466294,2.200488997555012,62.30760274770054,0.0
16,78.17906624752591,60.82198160437769,78.16509488881127,0.0
17,115.1309814879497,84.71533356618932,115.10071021073466,0.0
18,146.82035161252765,140.02095703807197,146.7830946559553,0.0
19,212.05961113051578,164.994760740482,212.00838281522877,0.0
20,230.32949120968678,206.03329840493652,230.2782628943998,0.0
21,141.9303760624054,158.9754336942601,141.89311910583305,0.0
22,117.68075445337058,138.5423215741064,117.64815461636977,0.0
23,108.38048666899522,113.74781697520083,108.35487251135172,0.0
